compartment,markers_present_in_high_confidence_set,eocrc_mean,locrc_mean,group_diff_p,spearman_rho_vs_classifier,spearman_p
Immune/leukocyte,['PTPRC'],0.13637945839859794,-0.13092428006265422,0.1521443522397018,0.18596867050475296,0.06674262901111469
Fibroblast/stromal,"['FAP', 'PDGFRB']",0.0590379934274012,-0.05667647369030489,0.5576726074341468,0.09363783001485504,0.35909508976794874
Endothelial/vascular,"['PECAM1', 'VWF']",0.1264481889521728,-0.12139026139408812,0.18740622042533484,0.20543962664728493,0.042422134430639274
Epithelial,[],-0.10408259818091681,0.09991929425367681,0.6163558626699437,-0.15170641827490133,0.1359107688110459
Smooth muscle/pericyte,"['ACTA2', 'MYH11', 'TAGLN']",0.027156680338985134,-0.02607041312542722,0.8617759350063687,0.03930531912858864,0.7007865380475603
